,email,article
12,org,10.0
15,com,14.0
17,com,15.0
18,com,15.0
19,com,15.0
33,com,22.0
34,com,22.0
78,com,62.0
80,com,63.0
83,com,65.0
88,com,68.0
90,com,70.0
95,com,74.0
112,org,97.0
115,com,101.0
135,com,117.0
140,com,123.0
150,com,132.0
167,com,141.0
168,com,141.0
189,com,179.0
201,com,211.0
202,com,211.0
240,com,247.0
262,com,264.0
263,com,264.0
264,org,264.0
265,com,264.0
270,com,265.0
273,com,268.0
277,com,271.0
290,com,281.0
293,com,294.0
295,com,294.0
300,com,298.0
308,com,301.0
310,com,302.0
320,com,310.0
325,com,313.0
331,com,316.0
333,com,317.0
334,com,317.0
337,com,323.0
338,com,323.0
370,com,357.0
381,com,376.0
409,com,410.0
410,com,410.0
413,com,413.0
425,com,429.0
435,com,451.0
440,com,455.0
450,com,474.0
451,com,475.0
477,com,495.0
479,com,496.0
481,com,496.0
489,com,521.0
490,com,521.0
497,com,525.0
501,com,527.0
504,com,540.0
505,com,540.0
508,com,545.0
509,com,545.0
519,com,550.0
520,com,550.0
521,com,551.0
543,org,577.0
545,com,582.0
547,org,582.0
550,org,584.0
551,org,585.0
553,org,586.0
562,com,596.0
563,com,598.0
569,com,602.0
608,com,640.0
612,com,643.0
626,com,653.0
643,com,661.0
693,com,700.0
697,com,703.0
698,com,703.0
736,com,734.0
737,com,736.0
740,com,740.0
749,com,745.0
750,com,745.0
758,com,774.0
774,com,797.0
790,com,808.0
794,com,809.0
795,com,809.0
798,com,809.0
799,com,809.0
841,com,860.0
856,com,892.0
886,com,916.0
889,com,920.0
890,com,922.0
891,com,922.0
896,com,928.0
900,com,930.0
910,com,949.0
911,org,949.0
921,com,954.0
922,com,954.0
955,com,973.0
960,com,980.0
966,com,997.0
971,com,997.0
996,com,1016.0
999,com,1017.0
1012,com,1029.0
1013,com,1029.0
1033,org,1043.0
1040,com,1045.0
1060,com,1107.0
1062,com,1107.0
1078,com,1114.0
1079,com,1114.0
1080,com,1118.0
1086,com,1129.0
1099,org,1140.0
1107,com,1145.0
1110,com,1146.0
1126,com,1158.0
1142,com,1180.0
1144,com,1180.0
1153,org,1187.0
1178,com,1193.0
1179,com,1193.0
1197,com,1217.0
1199,com,1218.0
1220,com,1236.0
1246,com,1261.0
1263,com,1275.0
1266,com,1277.0
1278,com,1298.0
1286,org,1311.0
1287,com,1311.0
1288,org,1311.0
1292,com,1314.0
1295,com,1315.0
1305,com,1334.0
1315,org,1357.0
1322,com,1373.0
1331,com,1379.0
1358,org,1425.0
1361,com,1438.0
1368,com,1444.0
1369,com,1444.0
1370,com,1444.0
1385,com,1460.0
1386,com,1460.0
1398,org,1481.0
1399,org,1481.0
1400,com,1486.0
1402,com,1487.0
1411,com,1494.0
1434,com,1520.0
1436,com,1521.0
1442,com,1525.0
1451,com,1530.0
1457,com,1536.0
1467,com,1555.0
1469,com,1555.0
1475,com,1571.0
1476,com,1571.0
1491,org,1585.0
1494,com,1588.0
1498,org,1589.0
1503,com,1591.0
1504,com,1591.0
1528,com,1622.0
1529,com,1622.0
1530,com,1622.0
1539,com,1626.0
1540,com,1626.0
1541,com,1626.0
1549,com,1646.0
1564,org,1661.0
1582,com,1671.0
1587,com,1676.0
1610,com,1696.0
1613,com,1696.0
1623,com,1707.0
1669,com,1741.0
1670,com,1742.0
1672,com,1743.0
1673,com,1743.0
1677,com,1745.0
1691,com,1755.0
1694,com,1759.0
1701,com,1767.0
1706,com,1771.0
1722,com,1783.0
1729,com,1796.0
1733,com,1802.0
1739,com,1803.0
1785,com,1854.0
1797,org,1867.0
1798,com,1869.0
1809,com,1877.0
1817,org,1881.0
1824,com,1891.0
1846,com,1916.0
1847,com,1916.0
1848,com,1916.0
1859,com,1933.0
1889,com,1987.0
1901,org,2009.0
1919,org,2023.0
1938,com,2042.0
1939,com,2045.0
1940,com,2045.0
1941,com,2045.0
1943,com,2046.0
1954,com,2056.0
1958,com,2057.0
2001,com,2133.0
2002,com,2133.0
2003,com,2133.0
2004,com,2133.0
2007,org,2136.0
2008,org,2136.0
2010,org,2136.0
2011,org,2136.0
2012,org,2136.0
2013,com,2136.0
2014,org,2136.0
2042,com,2173.0
2043,com,2174.0
2049,org,2179.0
2055,com,2189.0
2061,com,2200.0
2062,com,2200.0
2063,com,2200.0
2064,com,2200.0
2094,com,2234.0
2097,com,2235.0
2121,com,2258.0
2130,com,2262.0
2133,com,2266.0
2135,com,2268.0
2136,com,2268.0
2137,com,2268.0
2139,org,2269.0
2167,com,2295.0
2172,com,2297.0
2201,org,2314.0
2223,com,2345.0
2230,com,2366.0
2232,com,2368.0
2235,com,2372.0
2239,com,2391.0
2249,com,2415.0
2259,com,2431.0
2279,com,2456.0
2301,com,2487.0
2302,com,2487.0
2306,com,2500.0
2307,com,2500.0
2308,com,2500.0
2309,com,2500.0
2333,com,2518.0
2340,com,2521.0
2361,com,2532.0
2377,com,2554.0
2378,com,2559.0
2390,com,2576.0
2405,com,2594.0
2432,com,2638.0
2439,com,2647.0
2441,com,2648.0
2442,com,2648.0
2443,com,2648.0
2444,com,2648.0
2455,com,2659.0
2464,com,2665.0
2470,com,2667.0
2476,com,2672.0
2477,org,2672.0
2479,org,2673.0
2480,org,2673.0
2481,org,2673.0
2483,org,2674.0
2484,org,2674.0
2485,org,2674.0
2499,com,2696.0
2500,com,2696.0
2502,com,2698.0
2521,com,2731.0
2526,com,2733.0
2579,com,2772.0
2593,com,2821.0
2596,com,2823.0
2603,com,2842.0
2613,com,2875.0
2625,com,2884.0
2628,com,2885.0
2632,com,2887.0
2639,com,2894.0
2642,com,2897.0
2644,com,2913.0
2648,com,2913.0
2679,com,2946.0
2683,com,2959.0
2693,com,2976.0
2699,com,2980.0
2702,com,2984.0
2704,com,2984.0
2707,com,2986.0
2726,com,3007.0
2728,com,3007.0
2729,com,3007.0
2757,com,3135.0
2758,org,3135.0
2767,com,3149.0
2803,com,3175.0
2806,com,3176.0
2807,com,3176.0
2816,org,3198.0
2821,com,3203.0
2823,com,3206.0
2824,com,3206.0
2826,com,3210.0
2827,com,3210.0
2828,com,3210.0
2829,com,3210.0
2832,com,3221.0
2834,com,3221.0
2840,com,3224.0
2842,com,3225.0
2843,com,3225.0
2858,org,3247.0
2861,com,3248.0
2862,com,3248.0
2867,com,3249.0
2868,com,3250.0
2877,com,3257.0
2889,com,3269.0
2910,com,3310.0
2911,org,3310.0
2915,com,3313.0
2918,com,3314.0
2923,com,3316.0
2938,com,3326.0
2944,org,3338.0
2968,com,3366.0
2969,com,3366.0
2970,com,3366.0
2973,com,3367.0
2974,org,3367.0
2975,org,3367.0
2976,org,3367.0
2977,com,3367.0
2978,org,3367.0
2980,com,3368.0
2981,org,3368.0
2982,org,3368.0
2983,org,3368.0
2984,com,3368.0
2985,org,3368.0
2987,com,3369.0
2988,org,3369.0
2989,org,3369.0
2990,org,3369.0
2991,com,3369.0
2992,org,3369.0
2994,com,3370.0
2995,org,3370.0
2996,org,3370.0
2997,org,3370.0
2998,com,3370.0
2999,org,3370.0
3036,com,3406.0
3037,com,3407.0
3038,com,3407.0
3043,com,3410.0
3044,com,3410.0
3045,com,3410.0
3047,com,3414.0
3104,com,3461.0
3126,com,3474.0
3130,com,3479.0
3133,com,3483.0
3142,com,3491.0
3152,com,3516.0
3174,com,3532.0
3182,com,3566.0
3186,com,3571.0
3187,org,3573.0
3213,org,3628.0
3237,com,3657.0
3238,com,3657.0
3242,org,3660.0
3243,org,3660.0
3248,org,3664.0
3249,com,3664.0
3250,com,3664.0
3258,com,3667.0
3262,com,3669.0
3294,org,3696.0
3296,org,3701.0
3308,com,3705.0
3309,com,3705.0
3342,com,3722.0
3344,org,3722.0
3345,org,3722.0
3364,com,3751.0
3365,com,3751.0
3368,com,3751.0
3369,com,3751.0
3370,com,3751.0
3371,com,3752.0
3388,com,3778.0
3408,com,3800.0
3409,com,3800.0
3413,com,3803.0
3428,org,3831.0
3470,com,3875.0
3487,com,3906.0
3488,com,3906.0
3491,com,3906.0
3493,com,3906.0
3497,org,3911.0
3506,com,3919.0
3519,com,3935.0
3520,com,3935.0
3540,com,3945.0
3542,com,3948.0
3545,com,3951.0
3546,com,3951.0
3550,com,3958.0
3553,com,3975.0
3569,org,3983.0
3574,com,4000.0
3657,com,4076.0
3666,com,4082.0
3667,com,4082.0
3668,com,4082.0
3695,com,4104.0
3703,com,4114.0
3710,com,4118.0
3712,com,4119.0
3721,com,4128.0
3722,com,4128.0
3735,com,4171.0
3754,org,4181.0
3757,org,4183.0
3761,com,4185.0
3764,org,4187.0
3765,org,4187.0
3769,com,4199.0
3797,org,4243.0
3815,com,4256.0
3816,com,4256.0
3817,com,4258.0
3858,com,4321.0
3859,org,4321.0
3860,com,4321.0
3877,com,4355.0
3896,com,4374.0
3925,com,4394.0
3945,com,4409.0
3948,com,4413.0
3953,com,4416.0
3954,com,4416.0
3956,com,4418.0
3957,com,4418.0
3958,com,4418.0
3964,com,4435.0
3966,com,4436.0
3967,com,4436.0
3968,com,4436.0
3982,com,4441.0
4025,com,4479.0
4032,com,4497.0
4049,com,4513.0
4057,com,4518.0
4063,com,4523.0
4072,com,4526.0
4078,org,4543.0
4082,com,4545.0
4086,com,4549.0
4087,com,4550.0
4094,com,4555.0
4098,com,4558.0
4114,com,4578.0
4115,com,4578.0
4136,com,4600.0
4171,org,4646.0
4172,org,4646.0
4176,com,4646.0
4204,com,4674.0
4215,org,4697.0
4216,org,4697.0
4222,com,4702.0
4225,com,4702.0
4231,com,4707.0
4239,com,4722.0
