,email,article
17,yahoo.com,15.0
18,gmail.com,15.0
19,gmail.com,15.0
33,gmail.com,22.0
34,gmail.com,22.0
78,gmail.com,62.0
80,gmail.com,63.0
83,gmail.com,65.0
88,gmail.com,68.0
95,gmail.com,74.0
135,gmail.com,117.0
140,gmail.com,123.0
201,gmail.com,211.0
202,gmail.com,211.0
240,gmail.com,247.0
270,gmail.com,265.0
273,gmail.com,268.0
277,gmail.com,271.0
293,gmail.com,294.0
295,gmail.com,294.0
300,gmail.com,298.0
308,gmail.com,301.0
310,gmail.com,302.0
320,gmail.com,310.0
325,gmail.com,313.0
331,gmail.com,316.0
333,gmail.com,317.0
334,gmail.com,317.0
370,gmail.com,357.0
381,gmail.com,376.0
409,gmail.com,410.0
410,gmail.com,410.0
413,gmail.com,413.0
425,gmail.com,429.0
435,yahoo.com,451.0
450,gmail.com,474.0
451,gmail.com,475.0
479,gmail.com,496.0
505,gmail.com,540.0
508,gmail.com,545.0
509,gmail.com,545.0
519,gmail.com,550.0
520,gmail.com,550.0
562,gmail.com,596.0
563,gmail.com,598.0
643,gmail.com,661.0
693,gmail.com,700.0
697,yahoo.com,703.0
698,yahoo.com,703.0
737,yahoo.com,736.0
740,gmail.com,740.0
749,gmail.com,745.0
750,gmail.com,745.0
790,gmail.com,808.0
794,gmail.com,809.0
856,gmail.com,892.0
890,gmail.com,922.0
896,yahoo.com,928.0
900,gmail.com,930.0
921,gmail.com,954.0
922,gmail.com,954.0
955,gmail.com,973.0
960,gmail.com,980.0
996,gmail.com,1016.0
999,gmail.com,1017.0
1012,gmail.com,1029.0
1013,gmail.com,1029.0
1040,gmail.com,1045.0
1086,yahoo.com,1129.0
1110,gmail.com,1146.0
1126,gmail.com,1158.0
1178,gmail.com,1193.0
1197,gmail.com,1217.0
1199,gmail.com,1218.0
1220,gmail.com,1236.0
1246,gmail.com,1261.0
1266,gmail.com,1277.0
1278,gmail.com,1298.0
1292,yahoo.com,1314.0
1305,gmail.com,1334.0
1322,gmail.com,1373.0
1331,gmail.com,1379.0
1368,yahoo.com,1444.0
1369,yahoo.com,1444.0
1370,yahoo.com,1444.0
1402,gmail.com,1487.0
1411,gmail.com,1494.0
1442,gmail.com,1525.0
1457,gmail.com,1536.0
1467,gmail.com,1555.0
1469,gmail.com,1555.0
1475,gmail.com,1571.0
1476,gmail.com,1571.0
1539,gmail.com,1626.0
1540,gmail.com,1626.0
1541,gmail.com,1626.0
1549,gmail.com,1646.0
1587,gmail.com,1676.0
1610,gmail.com,1696.0
1613,gmail.com,1696.0
1623,gmail.com,1707.0
1670,gmail.com,1742.0
1672,gmail.com,1743.0
1673,gmail.com,1743.0
1677,gmail.com,1745.0
1694,gmail.com,1759.0
1701,gmail.com,1767.0
1706,gmail.com,1771.0
1722,gmail.com,1783.0
1729,gmail.com,1796.0
1733,gmail.com,1802.0
1739,gmail.com,1803.0
1785,gmail.com,1854.0
1824,gmail.com,1891.0
1846,gmail.com,1916.0
1847,gmail.com,1916.0
1848,gmail.com,1916.0
1859,gmail.com,1933.0
1889,gmail.com,1987.0
1938,gmail.com,2042.0
2001,gmail.com,2133.0
2002,gmail.com,2133.0
2003,gmail.com,2133.0
2004,gmail.com,2133.0
2042,gmail.com,2173.0
2043,gmail.com,2174.0
2094,gmail.com,2234.0
2097,gmail.com,2235.0
2130,gmail.com,2262.0
2133,gmail.com,2266.0
2135,gmail.com,2268.0
2136,gmail.com,2268.0
2137,gmail.com,2268.0
2167,gmail.com,2295.0
2230,gmail.com,2366.0
2235,gmail.com,2372.0
2239,gmail.com,2391.0
2249,gmail.com,2415.0
2259,gmail.com,2431.0
2279,yahoo.com,2456.0
2306,gmail.com,2500.0
2307,gmail.com,2500.0
2308,gmail.com,2500.0
2309,gmail.com,2500.0
2340,gmail.com,2521.0
2378,gmail.com,2559.0
2390,gmail.com,2576.0
2405,gmail.com,2594.0
2432,yahoo.com,2638.0
2439,gmail.com,2647.0
2442,gmail.com,2648.0
2443,gmail.com,2648.0
2444,gmail.com,2648.0
2455,gmail.com,2659.0
2476,gmail.com,2672.0
2499,gmail.com,2696.0
2500,gmail.com,2696.0
2502,yahoo.com,2698.0
2521,gmail.com,2731.0
2579,gmail.com,2772.0
2603,gmail.com,2842.0
2613,gmail.com,2875.0
2625,gmail.com,2884.0
2628,gmail.com,2885.0
2632,gmail.com,2887.0
2642,gmail.com,2897.0
2644,gmail.com,2913.0
2683,gmail.com,2959.0
2693,gmail.com,2976.0
2702,gmail.com,2984.0
2704,gmail.com,2984.0
2707,gmail.com,2986.0
2728,gmail.com,3007.0
2729,gmail.com,3007.0
2767,gmail.com,3149.0
2803,gmail.com,3175.0
2806,gmail.com,3176.0
2823,gmail.com,3206.0
2824,gmail.com,3206.0
2840,gmail.com,3224.0
2861,gmail.com,3248.0
2862,gmail.com,3248.0
2867,gmail.com,3249.0
2868,gmail.com,3250.0
2910,gmail.com,3310.0
2923,gmail.com,3316.0
2938,yahoo.com,3326.0
3036,gmail.com,3406.0
3037,gmail.com,3407.0
3038,gmail.com,3407.0
3043,gmail.com,3410.0
3044,gmail.com,3410.0
3045,gmail.com,3410.0
3047,gmail.com,3414.0
3126,gmail.com,3474.0
3130,gmail.com,3479.0
3133,gmail.com,3483.0
3152,gmail.com,3516.0
3182,gmail.com,3566.0
3237,gmail.com,3657.0
3238,gmail.com,3657.0
3249,gmail.com,3664.0
3250,gmail.com,3664.0
3258,gmail.com,3667.0
3262,gmail.com,3669.0
3308,gmail.com,3705.0
3309,gmail.com,3705.0
3364,gmail.com,3751.0
3365,gmail.com,3751.0
3368,gmail.com,3751.0
3369,gmail.com,3751.0
3370,gmail.com,3751.0
3371,gmail.com,3752.0
3388,gmail.com,3778.0
3470,gmail.com,3875.0
3506,gmail.com,3919.0
3519,gmail.com,3935.0
3520,gmail.com,3935.0
3540,gmail.com,3945.0
3546,gmail.com,3951.0
3550,gmail.com,3958.0
3553,gmail.com,3975.0
3666,gmail.com,4082.0
3668,gmail.com,4082.0
3695,gmail.com,4104.0
3710,gmail.com,4118.0
3721,gmail.com,4128.0
3722,gmail.com,4128.0
3735,gmail.com,4171.0
3761,gmail.com,4185.0
3769,gmail.com,4199.0
3815,gmail.com,4256.0
3817,gmail.com,4258.0
3860,gmail.com,4321.0
3877,gmail.com,4355.0
3896,gmail.com,4374.0
3925,gmail.com,4394.0
3945,gmail.com,4409.0
3948,gmail.com,4413.0
3964,yahoo.com,4435.0
3982,gmail.com,4441.0
4025,gmail.com,4479.0
4032,gmail.com,4497.0
4049,gmail.com,4513.0
4057,gmail.com,4518.0
4063,gmail.com,4523.0
4086,gmail.com,4549.0
4087,gmail.com,4550.0
4094,gmail.com,4555.0
4098,gmail.com,4558.0
4114,gmail.com,4578.0
4115,gmail.com,4578.0
4136,gmail.com,4600.0
4176,gmail.com,4646.0
4204,gmail.com,4674.0
4222,gmail.com,4702.0
4225,gmail.com,4702.0
4231,gmail.com,4707.0
4239,gmail.com,4722.0
4241,gmail.com,4722.0
4252,gmail.com,4731.0
4253,gmail.com,4731.0
4279,yahoo.com,4751.0
4287,gmail.com,4775.0
4288,gmail.com,4775.0
4317,gmail.com,4821.0
4318,gmail.com,4822.0
4320,gmail.com,4825.0
4321,gmail.com,4826.0
4322,gmail.com,4828.0
4323,gmail.com,4829.0
4336,gmail.com,4838.0
4338,gmail.com,4841.0
4356,gmail.com,4854.0
4358,gmail.com,4854.0
4408,gmail.com,4887.0
4419,gmail.com,4907.0
4426,gmail.com,4911.0
4517,gmail.com,4978.0
4585,gmail.com,5046.0
4586,gmail.com,5048.0
4622,gmail.com,5074.0
4628,gmail.com,5086.0
4629,gmail.com,5088.0
4674,gmail.com,5141.0
4678,gmail.com,5141.0
4727,gmail.com,5184.0
4742,gmail.com,5197.0
4749,gmail.com,5199.0
4751,gmail.com,5200.0
4772,gmail.com,5216.0
4847,gmail.com,5299.0
4865,gmail.com,5316.0
4971,gmail.com,5443.0
4989,gmail.com,5453.0
5017,gmail.com,5484.0
5018,gmail.com,5484.0
5033,gmail.com,5520.0
5046,gmail.com,5544.0
5081,gmail.com,5580.0
5083,gmail.com,5580.0
5100,gmail.com,5602.0
5118,gmail.com,5645.0
5119,gmail.com,5645.0
5120,gmail.com,5645.0
5121,gmail.com,5645.0
5122,gmail.com,5645.0
5124,gmail.com,5645.0
5126,gmail.com,5645.0
5127,gmail.com,5645.0
